Problem,Solution,Answer
학생 36명 중 안경을 낀 학생은 안경을 끼지 않은 학생보다 24명이 더 적습니다. 안경을 낀 학생은 몇 명입니까?,36 24 [OP_SUB] 2 [OP_DIV],6
"어느 학교의 3학년 학생 수는 41명이고, 남학생은 여학생보다 3명이 더 많습니다. 남학생은 몇 명입니까?",41 3 [OP_SUB] 2 [OP_DIV] 3 [OP_ADD],22
"동민이와 규형이는 각각 사탕을 몇 개씩 가지고 있습니다. 동민이가 규형이보다 사탕 수가 5개 더 많고, 두 사람의 사탕 수의 합이 43개라면 규형이는 몇 개를 가지고 있습니까?",43 5 [OP_SUB] 2 [OP_DIV],19
"율기와 가영이가 가지고 있는 용돈의 합은 6000원이고, 두 사람이 가지고 있는 용돈의 차를 용돈의 합에서 빼면 4800원입니다. 율기의 용돈이 가영이의 용돈보다 많다면 율기는 용돈을 얼마 가지고 있습니까?",4800 2 [OP_DIV] 6000 4800 [OP_SUB] [OP_ADD],3600
"율기와 동민이가 가지고 있던 돈의 합은 5000원이었습니다. 율기는 가지고 있던 돈을 모두 냈고, 동민이는 율기보다 300원을 더 내어 4500원짜리 인형 하나를 샀습니다. 동민이가 처음에 가지고 있던 돈은 얼마입니까?",5000 4500 300 [OP_SUB] 2 [OP_DIV] [OP_SUB],2900
석기는 가지고 있던 색종이 82장 중 몇 장을 사용하여 미술 작품을 만들었습니다. 남은 색종이 수가 사용한 색종이 수보다 6장 적다면 사용한 색종이는 몇 장입니까?,82 6 [OP_SUB] 2 [OP_DIV] 6 [OP_ADD],44
구슬 85개를 지혜와 용희가 나누어 가졌습니다. 지혜가 용희보다 구슬을 11개 더 가졌다면 지혜는 구슬을 몇 개 가졌습니까?,85 11 [OP_SUB] 2 [OP_DIV] 11 [OP_ADD],48
한별이와 한솔이의 몸무게의 합은 88킬로그램(㎏)입니다. 한별이가 한솔이보다 4킬로그램(㎏) 더 무겁다면 한솔이의 몸무게는 몇 킬로그램(㎏)입니까?,88 4 [OP_SUB] 2 [OP_DIV],42
연필 한 자루와 공책 한 권의 값의 합은 950원입니다. 공책이 연필보다 150원 비싸다면 연필은 얼마입니까?,950 150 [OP_SUB] 2 [OP_DIV],400
여학생과 남학생이 모두 24명 있습니다. 이 중 여학생에게만 색종이 50장을 똑같이 나누어 주었더니 2장이 남았습니다. 남학생 수가 여학생 수의 2배일 때 여학생은 색종이를 몇 장씩 갖게 됩니까?,50 2 [OP_SUB] 24 2 1 [OP_ADD] [OP_FDIV] [OP_FDIV],6
민호는 생일잔치에 초대한 8명에게 똑같이 나누어 주려고 사탕을 몇 개 준비하였습니다. 그런데 2명이 참석하지 않아서 1명에게 1개씩 더 주었더니 사탕이 4개 남았습니다. 민호가 준비한 사탕은 모두 몇 개입니까?,8 2 [OP_SUB] 4 [OP_ADD] 8 8 2 [OP_SUB] [OP_SUB] [OP_FDIV] 8 [OP_MUL],40
"지혜가 할머니 댁에 가는 데 전체 거리의 1/5은 걷고, 나머지 거리는 버스를 타고 갔습니다. 버스를 타고 간 거리는 전체 거리의 몇 배입니까?",1 1/5 [OP_SUB],0.8
"영수네 학교 3학년 학생은 모두 72명입니다. 이 중 1/3은 안경을 쓰고, 안경을 쓴 학생 중 2/3는 아파트에 삽니다. 안경을 쓰고 아파트에 사는 3학년 학생은 몇 명입니까?",72 1/3 [OP_MUL] 2/3 [OP_MUL],16
"시경이네 모둠 6명이 가지고 있는 사탕 수는 16, 22, 30, 26, 18, 20개 입니다. 시경이네 모둠이 가진 사탕은 평균 몇 개인가?",[OP_LIST_SOL] 16 22 30 26 18 20 [OP_LIST_EOL] [OP_LIST_MEAN],22
"45.8, 56, 46, 65, 21.9, 46.1 중 46 미만인 수는 모두 몇 개입니까?",[OP_LIST_SOL] 45.8 56 46 65 21.9 46.1 [OP_LIST_EOL] 46 [OP_LIST_LESS] [OP_LIST_LEN],2
"일의 자리 숫자가 3 이고, 소수 첫째 자리 숫자와 소수 둘째 자리 숫자가 0, 소수 셋째 자리 숫자가 6 인 수보다 큰 수 중에서 3.01 보다 작은 소수 세 자리 수는 모두 몇 개입니까?",0 9 1 [OP_LIST_ARANGE] 6 [OP_LIST_MORE] [OP_LIST_LEN],3
"1킬로미터(㎞)를 가는 데 0.08리터(ℓ)의 휘발유를 소모하는 자동차가 있습니다. 이 자동차를 이용하여 1시간에 80킬로미터(㎞)를 움직이는 빠르기로 2시간 36분을 이동하였을 때, 소모한 휘발유의 양은 몇 리터(ℓ)인지 구하시오.",0.08 80 2 36 60 [OP_DIV] [OP_ADD] [OP_MUL] [OP_MUL],16.64
"지하 3미터(m)에 있던 풍선이 하늘로 올라간 지 4초만에 지상에 도착했다고 한다. 풍선이 지상 0.09킬로미터(㎞)를 넘어가면 터진다고 할 때, 풍선이 하늘로 올라간 지 몇 초 후에 풍선이 터지는지 구하시오.",0.09 1000 [OP_MUL] 3 [OP_ADD] 3 [OP_DIV] 4 [OP_MUL],124
1킬로미터(㎞)를 달리는 데 휘발유 0.14리터(ℓ)가 필요한 자동차가 있습니다. 이 자동차로 1시간에 93.6킬로미터(㎞)씩 2시간 30분 동안 달렸습니다. 사용한 휘발유는 모두 몇 리터(ℓ)인지 구하시오.,0.14 93.6 [OP_MUL] 2 30 60 [OP_DIV] [OP_ADD] [OP_MUL],32.76
"형은 나보다 1/10미터(m) 더 크고, 동생은 나보다 0.2미터(m) 작은 1.1미터(m)입니다. 형의 키는 몇 미터(m)입니까?",0.2 1.1 [OP_ADD] 1/10 [OP_ADD],1.4
민정이네 집에는 매일 0.2리터(ℓ)짜리 우유가 3개씩 배달됩니다. 일주일 동안 민정이네 집에 배달되는 우유는 모두 몇 리터(ℓ)인지 구하시오.,0.2 3 [OP_MUL] 7 [OP_MUL],4.2
민지는 오늘 물을 오전에 0.26리터(ℓ) 마셨고 오후에 0.37리터(ℓ) 마셨습니다. 민지가 오늘 마신 물은 모두 몇 리터(ℓ)입니까?,0.26 0.37 [OP_ADD],0.63
가로수를 심으려고 합니다. 0.35킬로미터(㎞) 지점에서 0.37킬로미터(㎞) 지점까지 똑같이 4구간으로 나누어 처음부터 끝까지 가로수를 심는다면 네 번째 지점에 심는 가로 수의 위치는 몇 킬로미터(㎞) 지점인지 소수로 나타내시오.,0.35 0.37 0.35 [OP_SUB] 4 [OP_DIV] 4 1 [OP_SUB] [OP_MUL] [OP_ADD],0.365
민하는 하루에 0.39밀리미터(㎜) 씩 머리카락이 자랍니다. 민하 머리카락의 길이가 오늘 32.8 센티미터(㎝) 라면 30일 후의 길이는 몇 센티미터(㎝) 입니까?,0.39 10 [OP_DIV] 30 [OP_MUL] 32.8 [OP_ADD],33.97
"찬희의 한 걸음은 0.45미터(m)입니다. 찬희가 1분에 90걸음씩 걸어서 13분 걸었다면, 찬희는 모두 몇 미터(m)를 걸은 것인지 구하시오.",0.45 90 [OP_MUL] 13 [OP_MUL],526.5
"양팔 저울의 한쪽에는 동화책 한 권을 올려놓고, 다른 쪽에는 0.5킬로그램(㎏)짜리 추 한 개와 0.3킬로그램(㎏)짜리 추 2개를 올려놓았더니 수평이 되었습니다. 동화책 한 권의 무게는 몇 킬로그램(㎏)입니까?",0.5 0.3 2 [OP_MUL] [OP_ADD],1.1
민지는 매일 0.6 시간씩 집안 청소를 합니다. 민지가 3 주일 동안 집안 청소를 한 시간은 모두 몇 시간입니까?,0.6 7 [OP_MUL] 3 [OP_MUL],12.6
수영이네 가족이 오늘 우유를 전체의 0.4만큼 마셨더니 남은 우유가 0.69리터(ℓ) 였습니다. 처음에 있던 우유는 몇 리터(ℓ) 인지 구하시오.,0.69 1 0.4 [OP_SUB] [OP_DIV],1.15
"유찬이의 한 걸음은 0.75미터(m)입니다. 유찬이가 1분에 70걸음씩 걸어서 13분 동안 걸었다면, 유찬이는 모두 몇 미터(m)를 걸은 것인지 구하시오.",0.75 70 [OP_MUL] 13 [OP_MUL],682.5
리본 한 개를 만드는데 리본 테이프 0.84미터(m)가 필요합니다. 유진이가 가지고 있는 리본 테이프로 리본을 10개 만들었더니 50센티미터(㎝)가 남았습니다. 유진이가 처음에 가지고 있던 리본 테이프의 길이는 몇 미터(m)일까요?,0.84 10 [OP_MUL] 50 100 [OP_DIV] [OP_ADD],8.9
"우유 1리터(ℓ)가 있었는데 이 중에서 예슬이가 0.1리터(ℓ)를 마셨고, 가영이는 예슬이보다 0.2리터(ℓ)를 더 많이 마셨습니다. 잠시 후에 한초가 와서 우유를 마셨더니 0.3리터(ℓ)가 남았습니다. 한초가 마신 우유는 몇 리터(ℓ)입니까?",1 0.1 [OP_SUB] 0.1 0.2 [OP_ADD] [OP_SUB] 0.3 [OP_SUB],0.3
"어떤 일을 하는 데 수민이가 혼자서 하면 10일이 걸리고, 준우가 혼자서 하면 15일이 걸립니다. 이 일을 두 사람이 같이 한다면 일을 끝내는 데 며칠이 걸리는지 답을 구하세요.",1 1 10 [OP_DIV] 1 15 [OP_DIV] [OP_ADD] [OP_DIV],6
"어떤 일을 완성하는 데 형은 4일, 동생은 12일이 걸린다고 한다. 형과 동생이 함께 이 일을 한다면 일을 완성하는 데 며칠이 걸리는지 구하여라",1 1 4 [OP_DIV] 1 12 [OP_DIV] [OP_ADD] [OP_DIV],3
"민석이가 동화책을 읽기 시작하여 어제는 전체의 1/3을, 오늘은 전체의 2/5를 읽었습니다. 안 읽은 부분은 전체의 얼마인지 구하시오.",1 1/3 [OP_SUB] 2/5 [OP_SUB],0.27
"규리는 어떤 일의 1/3을 하는 데 5일 걸리고, 승연이는 같은 일의 1/5을 하는 데 2일 걸립니다. 규리와 승연이가 함께 일을 한다면 일을 끝내는 데 며칠이 걸립니까?",1 1/3 5 [OP_DIV] 1/5 2 [OP_DIV] [OP_ADD] [OP_DIV],6
"큰 쇠구슬 1개를 녹여서 작은 쇠구슬 여러 개를 만들려고 한다. 작은 쇠구슬의 반지름의 길이가 큰 쇠구슬의 반지름의 길이의 1/4일 때, 작은 쇠구슬은 모두 몇 개까지 만들 수 있는지 구하여라.",1 1/4 3 [OP_POW] [OP_DIV],64
"동생의 키는 민경이보다 28센티미터(㎝) 작고, 아버지의 키는 민경이보다 35센티미터(㎝) 큽니다. 아버지의 키가 1미터(m) 72센티미터(㎝)라면, 동생의 키는 몇 센티미터(㎝)일까요?",1 100 [OP_MUL] 72 [OP_ADD] 35 [OP_SUB] 28 [OP_SUB],109
"(가), (나), (다) 세 개의 컵에 물이 담겨 있습니다. 세 컵의 물의 양의 합은 1리터(ℓ) 200밀리리터(㎖)입니다. (다) 컵에서 (나) 컵으로 200밀리리터(㎖), (가) 컵으로 100밀리리터(㎖)의 물을 옮기면 세 개의 컵에 담긴 물의 양은 같아진다고 합니다. (가) 컵에 처음 담겨 있었던 물의 양을 구하시오.",1 1000 [OP_MUL] 200 [OP_ADD] 200 [OP_SUB] 100 [OP_SUB] 3 [OP_DIV],300
"원 모양의 연못을 따라 30미터(m) 간격으로 버드나무가 심어져 있습니다. 연못의 둘레가 1킬로미터(㎞) 200미터(m)라면, 버드나무는 모두 몇 그루 심어진 것입니까?",1 1000 [OP_MUL] 200 [OP_ADD] 30 [OP_DIV],40
"둘레가 1킬로미터(㎞) 500미터(m)인 산책로를 따라 꽃을 30미터(m) 간격으로 심으려고 합니다. 꽃 한 송이의 값이 5000원일 때, 필요한 꽃을 사는 데 드는 비용은 얼마입니까?",1 1000 [OP_MUL] 500 [OP_ADD] 30 [OP_DIV] 5000 [OP_MUL],250000
"성호와 민수가 영어 신문 1장을 해석을 하는데, 성호 혼자서 하면 5시간이 걸리고 민수 혼자서 하면 3시간이 걸린다고 합니다. 해석해야 할 양이 16장일 때, 두 사람이 함께 일을 마치는 데 걸리는 시간을 구하여라.",1 16 [OP_MUL] 1 5 [OP_DIV] 1 3 [OP_DIV] [OP_ADD] [OP_DIV],30
어떤 일을 윤경이 혼자서 완성하는 데 3일이 걸린다. 윤경이가 하루 동안 할 수 있는 일의 양은 전체의 얼마인가?,1 3 [OP_DIV],0.33
"우진이네 밭의 3/5에는 감자를 심었고, 나머지의 2/3에는 고구마를 심었다. 아무것도 심지 않은 부분은 전체의 몇 분의 몇 인가?",1 3/5 [OP_SUB] 1 2/3 [OP_SUB] [OP_MUL],0.13
"은영이의 키는 1미터(m) 35센티미터(㎝) 이고, 미선이의 키는 은영이보다 9센티미터(㎝) 더 크다고 합니다. 미선이의 키는 몇 미터(m)인지 소수로 나타내시오.",1 35 100 [OP_DIV] [OP_ADD] 9 100 [OP_DIV] [OP_ADD],1.44
어떤 일을 진수가 혼자서 완성하는 데 4시간이 걸린다. 진수가 한 시간 동안 할 수 있는 일의 양은 전체의 얼마인가?,1 4 [OP_DIV],0.25
5 이하인 자연수들의 합을 구하시오.,1 5 1 [OP_LIST_ARANGE] [OP_LIST_SUM],15
분모가 6인 진분수 중에서 가장 큰 진분수와 두 번째로 작은 진분수의 차는 얼마인지 답을 구해 보세요.,1 5 1 [OP_LIST_ARANGE] 1 [OP_LIST_MAX] 1 [OP_LIST_MIN] [OP_SUB] 6 [OP_DIV],0.67
"어떤 주차장의 주차 요금은 30 분 동안 500 원이고, 30 분 초과시 10 분마다 200 원씩 추가됩니다. 하영이 아버지께서 이 주차장에 1 시간 20 분 동안 주차를 하 였다면 주차 요금은 얼마입니까?",1 60 [OP_MUL] 20 [OP_ADD] 30 [OP_SUB] 10 [OP_FDIV] 200 [OP_MUL] 500 [OP_ADD],1500
해찬이는 20초에 150미터(m)를 달리는 빠르기로 달렸다. 1분 동안 해찬이가 달린 거리는 몇 미터(m)인가?,1 60 [OP_MUL] 20 [OP_DIV] 150 [OP_MUL],450
예원이는 30초에 180미터(m)를 달리는 빠르기로 달렸다. 1분 동안 예원이가 달린 거리는 몇 미터(m)인가?,1 60 [OP_MUL] 30 [OP_DIV] 180 [OP_MUL],360
두철이는 일정한 빠르기로 공원을 5 바퀴 도는 데 1 시간 36 분이 걸렸습니다. 공원을 한 바퀴 도는 데 걸린 시간은 몇 분인지 소수로 나타내시오.,1 60 [OP_MUL] 36 [OP_ADD] 5 [OP_DIV],19.2
"진우와 성민이 둘이서 어떤 일을 8일 동안 하면 전체 일의 7/12을 할 수 있습니다. 이 일을 둘이서 8일 동안 함께 하고, 나머지는 진우 혼자서 10일 동안 하여 끝냈습니다. 이 일을 처음부터 성민이 혼자서 하여 끝낸다면 며칠이 걸리는지 구하시오.",1 7/12 8 [OP_DIV] 1 7/12 [OP_SUB] 10 [OP_DIV] [OP_SUB] [OP_DIV],32
"길준이는 1.05킬로미터(㎞)를 달렸고, 시연이는 길준이보다 460미터(m) 더 적게 달렸습니다. 시연이는 몇 킬로미터(㎞)를 달렸습니까?",1.05 460 1000 [OP_DIV] [OP_SUB],0.59
길이가 1.08킬로미터(㎞)인 도로의 양쪽에 처음부터 끝까지 가로수를 심으려고 합니다. 13.5미터(m)마다 1그루씩 심으려면 가로수는 모두 몇 그루가 필요합니까?,1.08 1000 [OP_MUL] 13.5 [OP_DIV] 1 [OP_ADD] 2 [OP_MUL],162
자전거를 타고 일정한 빠르기로 혜미는 20분에 1.25킬로미터(㎞)를 가고 태수는 15분에 0.96킬로미터(㎞)를 갑니다. 두 사람이 같은 곳에서 서로 반대 방향으로 동시에 출발하면 1시간 후에 두 사람 사이의 거리는 몇 킬로미터(㎞)인지 구해 보시오.,1.25 20 60 [OP_DIV] [OP_DIV] 0.96 15 60 [OP_DIV] [OP_DIV] [OP_ADD],7.59
"도현이의 키는 1.46미터(m)이고, 형의 키는 도현이의 키의 1.15배입니다. 형의 키는 몇 미터(m)인가?",1.46 1.15 [OP_MUL],1.679
상헌이의 키는 1.56 미터(m) 입니다. 치호는 상헌이보다 0.14 미터(m) 작고 나라는 치호보다 0.27 미터(m) 크다고 합니 다. 나라의 키는 몇 미터(m)입니까?,1.56 0.14 [OP_SUB] 0.27 [OP_ADD],1.69
딸기가 1.6킬로그램(㎏) 있었습니다. 딸기를 어제는 0.8킬로그램(㎏)을 먹고 오늘은 0.3킬로그램(㎏)을 먹었습니다. 남은 딸기는 몇 킬로그램(㎏) 입니까?,1.6 0.8 [OP_SUB] 0.3 [OP_SUB],0.5
"기차가 1분에 1.6킬로미터(㎞)씩 달리고 있습니다. 길이가 4.85킬로미터(㎞)인 터널을 완전히 통과하는 데 3분 15초가 걸렸다면, 기차의 길이는 몇 미터(m)입니까?",1.6 3 15 60 [OP_DIV] [OP_ADD] [OP_MUL] 4.85 [OP_SUB] 1000 [OP_MUL],350
상헌이의 키는 1.56미터(m) 입니다. 치호는 상헌이보다 0.14미터(m) 작고 나라는 치호보다 0.27미터(m) 크다고 합니 다. 나라의 키는 몇 미터(m)입니까?,1.56 0.14 [OP_SUB] 0.27 [OP_ADD],1.69
무게가 같은 당구공 6개가 들어 있는 상자의 무게는 1.82킬로그램(㎏)입니다. 빈 상자의 무게가 0.5킬로그램(㎏)이라면 당구 공 한 개의 무게는 몇 킬로그램(㎏)인지 답을 구해 보세요.,1.82 0.5 [OP_SUB] 6 [OP_DIV],0.22
"상철이는 책을 읽고 있습니다. 어제는 전체의 1/3을 읽었고, 오늘은 전체의 1/2을 읽었습니다. 이틀 동안 읽은 양은 전체의 얼마입니까?",1/3 1/2 [OP_ADD],0.83
"아들의 나이는 아버지의 나이의 1/4보다 1살이 적고 아버지의 나이는 아들의 나이의 5배보다 5살이 적을 때, 아들의 나이는 몇 살입니까?",1/4 5 [OP_MUL] 1 [OP_ADD] 1/4 5 [OP_MUL] 1 [OP_SUB] [OP_DIV],9
도로의 한쪽에 처음부터 끝까지 10그루의 나무가 10미터(m) 간격으로 심어져 있습니다. 이 도로의 길이는 몇 미터(m)인지 구해 보시오.,10 1 [OP_SUB] 10 [OP_MUL],90
"10리터(ℓ) 들이의 통에 물이 가득 들어있습니다. 이 통에서 1리터(ℓ) 500밀리리터(㎖) 들이의 그릇으로 물을 가득 담아 3번 덜어내고, 1리터(ℓ) 250밀리리터(㎖) 들이의 그릇으로 물을 가득 담아 몇 번 덜어냈더니 1리터(ℓ) 750밀리리터(㎖)의 물이 남았습니다. 1리터(ℓ) 250밀리리터(㎖) 들이의 그릇으로 몇 번 덜어냈습니까?",10 1000 [OP_MUL] 1 1000 [OP_MUL] 500 [OP_ADD] 3 [OP_MUL] [OP_SUB] 1 1000 [OP_MUL] 750 [OP_ADD] [OP_SUB] 1 1000 [OP_MUL] 250 [OP_ADD] [OP_DIV],3
"10 이 21 개, 1 이 8 개, 0.1 이 5 개, 0.01 이 34 개인 수는 얼마입니까?",10 21 [OP_MUL] 1 8 [OP_MUL] [OP_ADD] 0.1 5 [OP_MUL] [OP_ADD] 0.01 34 [OP_MUL] [OP_ADD],218.84
1분에 36.6리터(ℓ)의 물이 나오는 수도로 수조에 물을 받는데 수조 바닥에 구멍이 나서 1분에 2.4리터(ℓ)의 물이 샌다고 합니다. 수조에 처음 10리터(ℓ)의 물이 들어 있었다면 7분 45초 후에 수조에 담겨 있는 물은 몇 리터(ℓ)입니까?,10 36.6 2.4 [OP_SUB] 7 45 60 [OP_DIV] [OP_ADD] [OP_MUL] [OP_ADD],275.05
민호는 빈대떡을 똑같이 5조각으로 나누어 한 조각을 먹었습니다. 윤아는 같은 크기의 빈대떡을 똑같이 10조각으로 나누었습니다. 민호와 같은 양을 먹으려면 윤아는 몇 조각을 먹어야 합니까?,10 5 [OP_DIV],2
"어떤 병에 물을 가 컵으로 가득 채우려면 10번, 나 컵 으로 가득 채우려면 5번 부어야 합니다. 나 컵의 들이는 가 컵의 들이의 몇 배입니까?",10 5 [OP_DIV],2
10리터(ℓ)짜리 물통에 물이 7/10만큼 남아 있습니다. 남은 물을 물병 4개에 똑같이 나누어 담으려면 물병 한 개에 담아야 할 물은 몇 리터(ℓ)인가요?,10 7/10 [OP_MUL] 4 [OP_DIV],1.75
"경호네 반 남학생 10명의 평균 국어 성적은 83.1점, 여학생 8명의 평균 국어 성적은 84점입니다. 이 학급 전체의 국어 성적 평균은 몇 점입니까?",10 83.1 [OP_MUL] 8 84 [OP_MUL] [OP_ADD] 10 8 [OP_ADD] [OP_DIV],83.5
밀가루 10.4 킬로그램(㎏) 을 그릇 한 개에 0.8 킬로그램(㎏) 씩 나누어 담으려고 합니다. 필요한 그릇은 몇 개입니까?,10.4 0.8 [OP_DIV] 1 [OP_CEIL],13
길이가 10.4 센티미터(㎝) 인 색 테이프 16 개를 3.5 센티미터(㎝) 씩 겹 치게 하여 원 모양으로 이어 붙였습니다. 이어 붙인 원 모양의 색 테이프의 전체 길이는 몇 센티미터(㎝) 입니까?,10.4 3.5 [OP_SUB] 16 [OP_MUL],110.4
일정한 빠르기로 1분에 2.1킬로미터(㎞)를 달리는 트럭과 4분에 10.5킬로미터(㎞)를 달리는 택시가 있습니다. 택시와 트럭 중 더 빠른 것은 무엇인가?,10.5 4 [OP_DIV] 2.1 1 [OP_DIV] [OP_DIV],1.25
성민이는 1시간에 10.8킬로미터(㎞)를 이동하는 일정한 속력으로 1시간 24분 동안 자전거를 탔습니다. 이때 성민이가 이동한 전체 거리는 몇 킬로미터(㎞)인지 구하시오.,10.8 1 24 60 [OP_DIV] [OP_ADD] [OP_MUL],15.12
무게가 각각 같은 로봇 9개와 팽이 7개의 무게를 재어 보니 10.98킬로그램(㎏)이었습니다. 로봇 1개의 무게가 0.8킬로그램(㎏)일 때 팽이 한 개의 무게는 몇 킬로그램(㎏)인지 구하시오.,10.98 0.8 9 [OP_MUL] [OP_SUB] 7 [OP_DIV],0.54
자동차를 타고 100킬로미터(㎞)를 가는 데 1시간 15분이 걸렸습니다. 1시간 동안 간 평균 거리는 몇 킬로미터(㎞)입니까?,100 1 15 60 [OP_DIV] [OP_ADD] [OP_DIV],80
"100미터(m) 길이의 도로에 10미터(m) 간격으로 나무를 심으려고 합니다. 도로의 처음과 끝에도 나무를 심는다고 할 때, 도로 한쪽에만 심는다면 몇 그루가 필요합니까?",100 10 [OP_DIV] 1 [OP_ADD],11
"100미터(m) 길이의 도로에 10미터(m) 간격으로 나무를 심으려고 합니다. 도로의 처음과 끝에도 나무를 심는다고 할 때, 도로 양쪽에 모두 심는다면 몇 그루가 필요합니까?",100 10 [OP_DIV] 1 [OP_ADD] 2 [OP_MUL],22
"은행에서 100만 원짜리 수표를 25장, 10만 원짜리 수표를 8장 찾았습니다. 은행에서 찾은 돈은 모두 얼마입니까?",100 10000 [OP_MUL] 25 [OP_MUL] 10 10000 [OP_MUL] 8 [OP_MUL] [OP_ADD],25800000
"100이 8, 10이 19, 1이 9인 수보다 2 큰 수는 얼마인가요?",100 8 [OP_MUL] 10 19 [OP_MUL] [OP_ADD] 1 9 [OP_MUL] [OP_ADD] 2 [OP_ADD],1000
하루에 연필을 370자루씩 생산하는 기계가 있습니다. 이 기계로 연필 1000타를 생산하려면 며칠이 걸립니까?,1000 12 [OP_MUL] 370 [OP_DIV] 1 [OP_CEIL],33
"1000밀리리터(㎖)짜리 물통에 물이 가득 차 있었는데, 구멍이 생겨 1분에 5밀리리터(㎖)씩 물이 새고 있다. 물이 300밀리리터(㎖) 남아있을 때까지 지난 시간을 구하시오.",1000 300 [OP_SUB] 5 [OP_DIV],140
보미는 350 원짜리 사탕 한 개와 500 원짜리 초콜릿 한 개를 사고 1000 원을 냈습니다. 보미가 받아야 할 거스름돈은 얼마입니까?,1000 350 [OP_SUB] 500 [OP_SUB],150
선우는 10000원을 가지고 한 통에 600원 하는 풍선껌 2통과 2봉지에 1600원 하는 라면 9봉지를 샀습니다. 선우가 받은 거스름돈은 얼마입니까?,10000 600 2 [OP_MUL] 1600 2 [OP_DIV] 9 [OP_MUL] [OP_ADD] [OP_SUB],1600
현주는 일주일에 평균 7000원씩 저금을 한다. 현주가 계속 저금하여 100000원을 모으려면 몇 주가 걸리겠는가?,100000 7000 [OP_DIV] 1 [OP_CEIL],15
"귤 1상자에 50개짜리와 70개짜리 상자를 합쳐 18상자를 샀습니다. 이 귤을 낱개로 세어보니 모두 1020개였다면, 70개짜리 상자는 몇 상자를 산 것입니까?",1020 50 18 [OP_MUL] [OP_SUB] 70 50 [OP_SUB] [OP_DIV],6
성재네 반 학생은 한 모둠에 6명씩 7모둠입니다. 한 묶음에 105장인 색종이 14묶음을 성재네 반 학생들에게 똑같이 나누어 주었더니 84장이 남았습니다. 한 사람에게 나누어 준 색종이는 몇 장입니까?,105 14 [OP_MUL] 84 [OP_SUB] 6 7 [OP_MUL] [OP_DIV],33
철사 4미터(m) 로 모빌을 1 개 만들 수 있습니다. 철사 105.8미터(m) 로 같은 크기의 모빌을 몇 개 만들 수 있습니까?,105.8 4 [OP_FDIV],26
철사 4미터(m) 로 모빌을 1 개 만들 수 있습니다. 철사 105.8미터(m) 로 같은 크기의 모빌을 여러 개 만들고 남는 철사는 몇 미터(m)입니까?,105.8 4 [OP_MOD],1.8
"무게가 같은 9개의 추의 무게가 4.5킬로그램(㎏)입니다. 이 추 2개와 무게가 850그램(g)인 필통 몇 개를 양팔 저울의 한쪽에 올려놓고, 다른 쪽에는 무게가 1050그램(g)인 사전을 5권 올려놓았더니 수평을 이루었습니다. 올려놓은 필통은 몇 개입니까?",1050 5 [OP_MUL] 4.5 1000 [OP_MUL] 9 [OP_DIV] 2 [OP_MUL] [OP_SUB] 850 [OP_DIV],5
