Problem,Solution,Answer
윤기는 학교를 가기 전에 39개의 짧은 소매 셔츠와 47개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 개학할 때까지 20개만 씻었다면 그는 몇 개를 씻지 않았을까?,39 47 [OP_ADD] 20 [OP_SUB],
학교 제빵 세일을 위해 유나는 페이스트리를 만들었다. 그녀는 4컵의 케이크와 29개의 쿠키를 구웠다. 세일 후에 그녀는 집에 가져갈 24개가 있었다. 그녀는 페이스트리를 몇 개나 팔았습니까?,4 29 [OP_ADD] 24 [OP_SUB],
방학 동안 유나는 동물원에서 24장 박물관에서 12장의 사진을 찍었습니다. 만약 그녀가 나중에 14장의 사진을 삭제했다면 그녀는 휴가에서 얼마나 많은 사진을 가지고 있었는가?,24 12 [OP_ADD] 14 [OP_SUB],
유나는 꽃다발을 만들기 위해 3개의 튤립과 9개의 장미를 골랐다. 만약 그녀가 단지 10개의 꽃을 사용했다면 은지는 얼마나 많은 여분의 꽃을 골랐을까요?,3 9 [OP_ADD] 10 [OP_SUB],
유나는 숙제로 46개의 수학문제와 9개의 과학문제를 가지고 있었다. 만약 그녀가 학교에서 40개의 문제를 끝냈다면 숙제를 위해 얼마나 많은 문제를 해야 했을까?,46 9 [OP_ADD] 40 [OP_SUB],
유나는 그녀의 플래시 드라이브에 4개의 음악 파일과 21개의 비디오 파일을 가지고 있었다. 23개의 파일을 삭제했다면 플래시 드라이브에 남아 있던 파일은 몇 개였을까요?,4 21 [OP_ADD] 23 [OP_SUB],
은지는 그의 게임 컬렉션을 확장하려고 했다. 그는 친구로부터 11개의 게임을 샀고 차고세일에서 22개의 게임을 더 샀다. 만약 19개의 게임이 성공하지 못했다면 그는 얼마나 많은 좋은 게임을 하게 되었을까?,11 22 [OP_ADD] 19 [OP_SUB],
은지는 하찮은 게임을 하고 있었다. 첫 라운드에서 그녀는 40점을 득점했고 2번째 라운드에서는 50점을 득점했다. 마지막 라운드에서 그녀는 4점을 잃었다. 그녀는 경기 마지막에 몇 점을 받았나요?,40 50 [OP_ADD] 4 [OP_SUB],
오락실에서 지민은 '두더지 후크 어 몰'로 32장 '키볼'로 25장을 땄다. 만약 그가 7장의 티켓을 모자 하나에 썼다면 지민은 몇장의 티켓을 남겼을까?,32 25 [OP_ADD] 7 [OP_SUB],
은지와 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 은지는 26을 골랐고 그녀의 어머니는 15를 골랐다. 만약 당근 중 16개만 좋다면 그들은 얼마나 많은 나쁜 당근을 가지고 있었을까?,26 15 [OP_ADD] 16 [OP_SUB],
학교 베이크세일을 위해 은지는 페이스트리를 만들었다. 그녀는 케이크 7컵과 쿠키 5개를 구웠다. 세일 후에 그녀는 집으로 가져가야 할 8개가 있었다. 그녀는 페이스트리를 몇 개나 팔았습니까?,7 5 [OP_ADD] 8 [OP_SUB],
은지는 컬러링북 두 권을 샀다. 하나는 44장의 사진을 가지고 있었고 다른 하나는 44장의 사진을 가지고 있었다. 일주일 후에 그녀는 이미 20장의 그림을 색칠했다. 그녀는 아직도 몇 장의 그림을 색칠해야 합니까?,44 44 [OP_ADD] 20 [OP_SUB],
정국은 게임 컬렉션을 확장하려고 애쓰고 있었다. 그는 친구로부터 21개의 게임을 샀고 차고세일에서 8개의 게임을 더 샀다. 만약 23개의 게임이 성공하지 못했다면 그는 얼마나 많은 좋은 게임을 하게 되었을까?,21 8 [OP_ADD] 23 [OP_SUB],
윤기는 11달러를 가지고 있었다. 그의 생일에 그는 18달러를 더 받았지만 새로운 게임에 10달러를 썼다. 그는 지금 얼마나 많은 돈을 가지고 있나요?,11 18 [OP_ADD] 10 [OP_SUB],
유정은 방학 동안 동물원에서 41장의 사진을 박물관에서 29장의 사진을 찍었다. 만약 그녀가 나중에 15장의 사진을 삭제했다면 그녀는 휴가에서 얼마나 많은 사진을 가지고 있었는가?,41 29 [OP_ADD] 15 [OP_SUB],
유정은 학교에 가기 전에 40개의 짧은 소매 셔츠와 23개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 학교가 시작할 때까지 29개만 씻었다면 그는 몇 개를 씻지 않았을까요?,40 23 [OP_ADD] 29 [OP_SUB],
한 애완동물 가게에는 12마리의 샴고양이와 20마리의 집고양이가 있었다. 세일 기간 동안 그들은 20마리의 고양이를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,12 20 [OP_ADD] 20 [OP_SUB],
유나와 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 유나는 23명을 뽑았고 어머니는 5명을 뽑았다. 만약 12개의 당근만 좋다면 그들은 얼마나 많은 나쁜 당근을 가지고 있었을까?,23 5 [OP_ADD] 12 [OP_SUB],
학교 급식소는 학생들에게 점심으로 43개의 빨간 사과와 32개의 녹색 사과를 주문했다. 하지만 만약 2명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가가 되었나요?,43 32 [OP_ADD] 2 [OP_SUB],
39명의 소녀와 4명의 소년들이 학교 농구팀을 위해 노력했습니다. 만약 그들 중 26명만 다시 전화를 받았다면 얼마나 많은 학생들이 이 시험을 통과하지 못했을까?,39 4 [OP_ADD] 26 [OP_SUB],
한 애완동물 가게에는 38마리의 샴고양이와 25마리의 집고양이가 있었다. 세일 기간 동안 그들은 45마리의 고양이를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,38 25 [OP_ADD] 45 [OP_SUB],
학교 베이크세일을 위해 은지는 페이스트리를 만들었다. 그녀는 36컵의 케이크와 9개의 쿠키를 구웠다. 세일 후에 그녀는 집에 가져갈 4개가 있었다. 그녀는 페이스트리를 몇 개나 팔았습니까?,36 9 [OP_ADD] 4 [OP_SUB],
유정은 하찮은 게임을 하고 있었다. 첫 라운드에서 그녀는 17점을 득점했고 2번째 라운드에서는 6점을 득점했다. 마지막 라운드에서 그녀는 16점을 잃었다. 그녀는 경기 마지막에 몇 점을 받았나요?,17 6 [OP_ADD] 16 [OP_SUB],
유정은 컬러링북 두 권을 샀다. 하나는 10장의 사진을 가지고 있었고 다른 하나는 39장의 사진을 가지고 있었다. 일주일 후에 그녀는 이미 13장의 그림을 색칠했다. 그녀는 아직도 몇 장의 그림을 색칠해야 합니까?,10 39 [OP_ADD] 13 [OP_SUB],
할로윈을 위해 유정과 그녀의 여동생은 그들이 받은 사탕을 합쳤다. 유정은 그녀의 여동생이 33개를 가진 동안 34개의 사탕을 먹었다. 만약 그들이 첫날밤에 4조각이나 먹었다면 그들은 몇 조각 남았나요?,34 33 [OP_ADD] 4 [OP_SUB],
은지와 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 은지는 39명을 뽑았고 어머니는 38명을 뽑았다. 만약 당근 중 64개만 좋다면 그들은 얼마나 많은 나쁜 당근을 가지고 있었을까?,39 38 [OP_ADD] 64 [OP_SUB],
학교 농구팀에 30명의 소녀와 36명의 소년들이 참가했습니다. 만약 그들 중 10명만 다시 전화를 받았다면 얼마나 많은 학생들이 이 시험을 통과하지 못했을까요?,30 36 [OP_ADD] 10 [OP_SUB],
윤기는 29달러를 가지고 있었다. 그의 생일에 그는 20달러를 더 받았지만 새로운 게임에 34달러를 썼다. 그는 지금 얼마나 많은 돈을 가지고 있나요?,29 20 [OP_ADD] 34 [OP_SUB],
윤기는 학교 가기 전에 29개의 짧은 소매 셔츠와 11개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 개학할 때까지 35개만 씻었다면 그는 몇 개를 씻지 않았을까요?,29 11 [OP_ADD] 35 [OP_SUB],
윤기는 게임 컬렉션을 확장하려고 했습니다. 그는 친구로부터 41개의 게임을 샀고 차고세일에서 14개의 게임을 더 샀다. 만약 31개의 게임이 성공하지 못했다면 그는 얼마나 많은 좋은 게임을 하게 되었을까?,41 14 [OP_ADD] 31 [OP_SUB],
학교 도서 박람회에서 유정은 모험 책 13권과 추리 책 17권을 샀다. 만약 그 책들 중 15권이 사용된다면 그는 얼마나 많은 새 책을 샀는가?,13 17 [OP_ADD] 15 [OP_SUB],
유나는 그녀의 플래시 드라이브에 26개의 음악 파일과 36개의 비디오 파일을 가지고 있었다. 48개의 파일을 삭제했다면 플래시 드라이브에 남아 있던 파일은 얼마나 됩니까?,26 36 [OP_ADD] 48 [OP_SUB],
윤기는 35달러를 가지고 있었다. 그의 생일에 그는 50달러를 더 받았지만 새로운 게임에 84달러를 썼다. 그는 지금 얼마나 많은 돈을 가지고 있나요?,35 50 [OP_ADD] 84 [OP_SUB],
은지는 하찮은 게임을 하고 있었다. 첫 라운드에서 그녀는 16점을 득점했고 2번째 라운드에서는 33점을 득점했다. 마지막 라운드에서 그녀는 48점을 잃었다. 그녀는 경기 마지막에 몇 점을 받았나요?,16 33 [OP_ADD] 48 [OP_SUB],
은지는 숙제를 위해 43개의 수학 문제와 12개의 과학 문제를 가지고 있었다. 만약 그녀가 학교에서 44개의 문제를 끝냈다면 숙제를 위해 얼마나 많은 문제를 해야 했을까?,43 12 [OP_ADD] 44 [OP_SUB],
학교 급식소는 학생들에게 점심으로 33개의 빨간 사과와 23개의 녹색 사과를 주문했다. 하지만 21명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가 학생들로 끝났을까요?,33 23 [OP_ADD] 21 [OP_SUB],
윤기는 학교에 가기 전에 9개의 짧은 소매 셔츠와 27개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 개학할 때까지 20개만 씻었다면 그는 몇 개를 씻지 않았을까?,9 27 [OP_ADD] 20 [OP_SUB],
방학동안 호석은 동물원에서 6장의 사진을 찍고 박물관에서 9장의 사진을 찍었다. 만약 그녀가 나중에 11장의 사진을 삭제했다면 그녀는 휴가에서 얼마나 많은 사진을 가지고 있었는가?,6 9 [OP_ADD] 11 [OP_SUB],
은지와 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 은지는 17명을 뽑았고 그녀의 어머니는 14명을 뽑았다. 만약 24개의 당근만이 좋았다면 그들은 얼마나 많은 나쁜 당근을 가지고 있었을까?,17 14 [OP_ADD] 24 [OP_SUB],
한 애완동물 가게에는 41마리의 샴고양이와 28마리의 집고양이가 있었다. 세일 기간 동안 그들은 15마리의 고양이를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,41 28 [OP_ADD] 15 [OP_SUB],
학교 도서 박람회에서 유정은 모험 책 13권과 추리 책 17권을 샀다. 만약 그 책들 중 15권이 사용된다면 그는 얼마나 많은 새 책을 샀는가?,13 17 [OP_ADD] 15 [OP_SUB],
유나는 그녀의 플래시 드라이브에 26개의 음악 파일과 36개의 비디오 파일을 가지고 있었다. 48개의 파일을 삭제했다면 플래시 드라이브에 남아 있던 파일은 얼마나 됩니까?,26 36 [OP_ADD] 48 [OP_SUB],
윤기는 35달러를 가지고 있었다. 그의 생일에 그는 50달러를 더 받았지만 새로운 게임에 84달러를 썼다. 그는 지금 얼마나 많은 돈을 가지고 있나요?,35 50 [OP_ADD] 84 [OP_SUB],
은지는 하찮은 게임을 하고 있었다. 첫 라운드에서 그녀는 16점을 득점했고 2번째 라운드에서는 33점을 득점했다. 마지막 라운드에서 그녀는 48점을 잃었다. 그녀는 경기 마지막에 몇 점을 받았나요?,16 33 [OP_ADD] 48 [OP_SUB],
은지는 숙제를 위해 43개의 수학 문제와 12개의 과학 문제를 가지고 있었다. 만약 그녀가 학교에서 44개의 문제를 끝냈다면 숙제를 위해 얼마나 많은 문제를 해야 했을까?,43 12 [OP_ADD] 44 [OP_SUB],
학교 급식소는 학생들에게 점심으로 33개의 빨간 사과와 23개의 녹색 사과를 주문했다. 하지만 21명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가 학생들로 끝났을까요?,33 23 [OP_ADD] 21 [OP_SUB],
윤기는 학교에 가기 전에 9개의 짧은 소매 셔츠와 27개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 개학할 때까지 20개만 씻었다면 그는 몇 개를 씻지 않았을까?,9 27 [OP_ADD] 20 [OP_SUB],
방학동안 호석은 동물원에서 6장의 사진을 찍고 박물관에서 9장의 사진을 찍었다. 만약 그녀가 나중에 11장의 사진을 삭제했다면 그녀는 휴가에서 얼마나 많은 사진을 가지고 있었는가?,6 9 [OP_ADD] 11 [OP_SUB],
은지와 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 은지는 17명을 뽑았고 그녀의 어머니는 14명을 뽑았다. 만약 24개의 당근만이 좋았다면 그들은 얼마나 많은 나쁜 당근을 가지고 있었을까?,17 14 [OP_ADD] 24 [OP_SUB],
한 애완동물 가게에는 41마리의 샴고양이와 28마리의 집고양이가 있었다. 세일 기간 동안 그들은 15마리의 고양이를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,41 28 [OP_ADD] 15 [OP_SUB],
유정은 꽃다발을 만들기 위해 4개의 튤립과 11개의 장미를 골랐습니다. 만약 그녀가 11개의 꽃만 사용했다면 유정은 몇 개의 꽃을 더 골랐을까요?,4 11 [OP_ADD] 11 [OP_SUB],
은지는 그녀의 플래시 드라이브에 13개의 음악 파일과 30개의 비디오 파일을 가지고 있었다. 만약 그녀가 10개의 파일을 삭제했다면 그녀의 플래시 드라이브에 얼마나 많은 파일이 남아 있었을까요?,13 30 [OP_ADD] 10 [OP_SUB],
은지는 컬러링북 두 권을 샀다. 하나는 16장의 사진을 가지고 있었고 다른 하나는 40장의 사진을 가지고 있었다. 일주일 후에 그녀는 이미 33장의 그림을 색칠했다. 그녀는 아직도 몇 장의 그림을 색칠해야 합니까?,16 40 [OP_ADD] 33 [OP_SUB],
학교 급식소는 학생들에게 점심으로 8개의 빨간 사과와 43개의 녹색 사과를 주문했다. 하지만 42명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가 학생들로 끝났을까요?,8 43 [OP_ADD] 42 [OP_SUB],
윤기는 자신의 잔디 깎기 사업을 시작했다. 봄에 그는 잔디를 깎는 2달러를 벌었고 여름에는 27달러를 벌었다. 만약 그가 물자를 사는데 5달러를 써야 한다면 그는 결국 얼마의 돈을 가지게 되었을까?,2 27 [OP_ADD] 5 [OP_SUB],
한 애완동물 가게에는 36마리의 샴고양이와 18마리의 집고양이가 있었다. 세일 기간 동안 그들은 26마리의 고양이를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,36 18 [OP_ADD] 26 [OP_SUB],
은지와 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 은지는 20명을 뽑았고 그녀의 엄마는 14명을 뽑았다. 만약 당근들 중 19개만 좋다면 그들은 얼마나 많은 나쁜 당근들을 가지고 있었을까?,20 14 [OP_ADD] 19 [OP_SUB],
유나는 30달러를 가지고 있었다. 그의 생일에 그는 16달러를 더 받았지만 새로운 게임에 38달러를 썼다. 그는 지금 얼마나 많은 돈을 가지고 있나요?,30 16 [OP_ADD] 38 [OP_SUB],
6명의 소녀와 48명의 소년들이 학교 농구팀을 위해 노력했습니다. 만약 그들 중 7명만 다시 전화를 받았다면 얼마나 많은 학생들이 이 시험을 통과하지 못했을까요?,6 48 [OP_ADD] 7 [OP_SUB],
학교 베이크세일을 위해 유나는 페이스트리를 만들었다. 그녀는 15컵의 케이크와 48개의 쿠키를 구웠다. 세일 후에 그녀는 집에 가져갈 12개의 짐이 있었다. 그녀는 페이스트리를 몇 개나 팔았습니까?,15 48 [OP_ADD] 12 [OP_SUB],
학교 도서 박람회에서 유나는 32권의 모험 책과 37권의 추리 책을 샀다. 만약 16권의 책이 사용된다면 그는 얼마나 많은 새 책을 샀을까요?,32 37 [OP_ADD] 16 [OP_SUB],
휴가 동안 은지는 동물원에서 50장의 사진을 박물관에서 8장의 사진을 찍었다. 만약 그녀가 나중에 38장의 사진을 삭제했다면 그녀는 휴가에서 얼마나 많은 사진을 가지고 있었는가?,50 8 [OP_ADD] 38 [OP_SUB],
학교 급식소는 학생들에게 점심으로 37개의 빨간 사과와 45개의 녹색 사과를 주문했다. 하지만 51명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가 학생들로 끝났을까요?,37 45 [OP_ADD] 51 [OP_SUB],
쇼핑하는 동안 유나는 35개의 녹색 수건과 21개의 하얀 수건을 샀다. 만약 그녀가 34개의 수건을 어머니에게 준다면 유나는 몇 개의 수건을 갖게 되었을까?,35 21 [OP_ADD] 34 [OP_SUB],
17명의 소녀들과 32명의 소년들이 학교 농구팀을 위해 노력했습니다. 만약 그들 중 10명만 다시 전화를 받았다면 얼마나 많은 학생들이 이 시험을 통과하지 못했을까요?,17 32 [OP_ADD] 10 [OP_SUB],
유나와 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 유나는 38명을 뽑았고 그녀의 어머니는 47명을 뽑았다. 만약 71개의 당근만이 좋았다면 그들은 얼마나 많은 나쁜 당근을 가지고 있었을까?,38 47 [OP_ADD] 71 [OP_SUB],
기름진 스푼' 레스토랑의 웨이터는 29명의 손님이 기다리고 있었다. 점심시간에 그는 20명의 손님을 더 추가했다. 34명의 고객이 그에게 팁을 남기지 않았다면 얼마나 많은 고객이 팁을 남겼을까요?,29 20 [OP_ADD] 34 [OP_SUB],
지민은 학교에 가기 전에 10개의 짧은 소매 셔츠와 25개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 개학할 때까지 그것들을 5개만 씻었다면 그는 몇 개를 씻지 않았을까요?,10 25 [OP_ADD] 5 [OP_SUB],
은지는 그녀의 플래시 드라이브에 16개의 음악 파일과 48개의 비디오 파일을 가지고 있었다. 만약 그녀가 30개의 파일을 삭제했다면 그녀의 플래시 드라이브에 얼마나 많은 파일이 남아 있었을까요?,16 48 [OP_ADD] 30 [OP_SUB],
석진은 자신의 잔디 깎기 사업을 시작했다. 봄에 그는 잔디를 깎는 4달러를 벌었고 여름에는 50달러를 벌었다. 만약 그가 물자를 사는데 4달러를 써야 한다면 그는 결국 얼마의 돈을 가지게 되었을까?,4 50 [OP_ADD] 4 [OP_SUB],
학교 급식소는 학생들에게 점심으로 6개의 빨간 사과와 15개의 녹색 사과를 주문했다. 하지만 만약 5명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가 학생들로 끝냈을까요?,6 15 [OP_ADD] 5 [OP_SUB],
은지는 꽃다발을 만들기 위해 39개의 튤립과 49개의 장미를 골랐습니다. 만약 그녀가 81개의 꽃만 사용했다면 은지는 얼마나 많은 여분의 꽃을 골랐을까요?,39 49 [OP_ADD] 81 [OP_SUB],
휴가 동안 유나는 동물원에서 49장의 사진을 찍고 박물관에서 8장의 사진을 찍었다. 만약 그녀가 나중에 38장의 사진을 삭제했다면 그녀는 휴가에서 얼마나 많은 사진을 가지고 있었는가?,49 8 [OP_ADD] 38 [OP_SUB],
유정은 18개의 수학문제와 11개의 과학문제를 숙제로 가지고 있었다. 만약 그녀가 학교에서 24개의 문제들을 끝냈다면 숙제를 위해 얼마나 많은 문제들을 해야 했을까?,18 11 [OP_ADD] 24 [OP_SUB],
할로윈을 위해 은지와 그녀의 여동생은 그들이 받은 사탕을 합쳤다. 은지는 그녀의 여동생이 6개를 가진 동안 10개의 사탕을 먹었다. 만약 그들이 첫날밤 9개를 먹었다면 그들은 몇 조각 남았나요?,10 6 [OP_ADD] 9 [OP_SUB],
한 애완동물 가게에는 15마리의 샴고양이와 49마리의 집고양이가 있었다. 세일 기간 동안 그들은 19마리의 고양이를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,15 49 [OP_ADD] 19 [OP_SUB],
9명의 소녀와 14명의 소년들이 학교 농구팀을 위해 노력했습니다. 만약 그들 중 두 명만 다시 전화를 받았다면 얼마나 많은 학생들이 이 시험을 통과하지 못했을까요?,9 14 [OP_ADD] 2 [OP_SUB],
은지는 그녀의 플래시 드라이브에 27개의 음악 파일과 42개의 비디오 파일을 가지고 있었다. 11개의 파일을 삭제했다면 플래시 드라이브에 남아 있던 파일은 몇 개였을까요?,27 42 [OP_ADD] 11 [OP_SUB],
쇼핑하는 동안 유나는 40개의 녹색 수건과 44개의 하얀 수건을 샀다. 만약 그녀가 65개의 수건을 어머니에게 준다면 유나는 몇개의 수건을 가지게 되었을까?,40 44 [OP_ADD] 65 [OP_SUB],
기름진 스푼' 레스토랑의 웨이터는 39명의 손님이 기다리고 있었다. 점심시간에 그는 12명의 손님을 더 추가했다. 49명의 고객이 그에게 팁을 남기지 않았다면 얼마나 많은 고객이 팁을 남겼을까요?,39 12 [OP_ADD] 49 [OP_SUB],
한 애완동물 가게에는 샴고양이 19마리와 집고양이 45마리가 있었다. 세일 기간 동안 그들은 56마리의 고양이를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,19 45 [OP_ADD] 56 [OP_SUB],
기름진 스푼' 레스토랑의 웨이터는 26명의 손님이 기다리고 있었다. 점심시간에 그는 27명의 손님을 더 추가했다. 고객 중 27명이 팁을 남기지 않았다면 얼마나 많은 고객이 팁을 남겼을까요?,26 27 [OP_ADD] 27 [OP_SUB],
호석은 컬러링북 두 권을 샀다. 하나는 24장의 사진을 가지고 있었고 다른 하나는 39장의 사진을 가지고 있었다. 일주일 후에 그녀는 이미 4장의 그림을 색칠했다. 그녀는 아직도 몇 장의 그림을 색칠해야 합니까?,24 39 [OP_ADD] 4 [OP_SUB],
쇼핑하는 동안 은지는 녹색 수건 5개와 흰색 수건 30개를 샀다. 만약 그녀가 26개의 수건을 어머니에게 준다면 은지는 몇 개의 수건을 갖게 되었을까?,5 30 [OP_ADD] 26 [OP_SUB],
할로윈을 위해 은지와 그녀의 여동생은 그들이 받은 사탕을 합쳤다. 은지는 그녀의 여동생이 23개를 가진 동안 사탕 8개를 먹었다. 만약 그들이 첫날밤에 8조각이나 먹었다면 그들은 몇 조각 남았나요?,8 23 [OP_ADD] 8 [OP_SUB],
은지는 그의 게임 컬렉션을 확장하려고 했다. 그는 친구로부터 50개의 게임을 샀고 차고세일에서 27개의 게임을 더 샀다. 만약 74개의 게임이 효과가 없다면 그는 얼마나 많은 좋은 게임을 하게 되었을까?,50 27 [OP_ADD] 74 [OP_SUB],
학교 제빵 세일을 위해 유나는 페이스트리를 만들었다. 그녀는 41컵의 케이크와 31개의 쿠키를 구웠다. 세일 후에 그녀는 32개를 집으로 가지고 갔다. 그녀는 페이스트리를 몇 개나 팔았습니까?,41 31 [OP_ADD] 32 [OP_SUB],
학교 급식소는 학생들에게 점심으로 25개의 빨간 사과와 17개의 녹색 사과를 주문했다. 하지만 10명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가 학생들로 끝났을까요?,25 17 [OP_ADD] 10 [OP_SUB],
오락실에서 윤기는 '두더지 후크 어 몰'을 하는 29장의 티켓과 '키볼'을 하는 17장의 티켓을 따냈다. 만약 그가 12장의 티켓을 모자 하나에 썼다면 윤기는 몇장의 티켓을 남겼을까?,29 17 [OP_ADD] 12 [OP_SUB],
은지는 45달러를 가지고 있었다. 그의 생일에 그는 9달러를 더 받았지만 새로운 게임에 19달러를 썼다. 그는 지금 얼마나 많은 돈을 가지고 있나요?,45 9 [OP_ADD] 19 [OP_SUB],
학교 제빵 판매를 위해 유정은 30개의 컵케이크를 만들었다. 만약 그녀가 9개를 팔고 28개를 더 만든다면 그녀는 얼마나 많은 컵케이크를 가지고 있을까?,30 28 [OP_ADD] 9 [OP_SUB],
할로윈을 위해 유나는 47개의 사탕을 득점했다. 그녀는 첫날밤 25조각을 먹었고 그녀의 여동생은 그녀에게 40조각을 더 주었다. 유나는 지금 몇 조각의 사탕을 가지고 있나요?,47 40 [OP_ADD] 25 [OP_SUB],
석진은 34권의 책을 가지고 있었다. 만약 그가 17권의 책을 팔고 그가 번 돈을 7권의 책을 산다면 석진은 얼마나 많은 책을 가지고 있을까?,34 7 [OP_ADD] 17 [OP_SUB],
4학년 때는 한 해 초에 10명의 학생이 있었다. 4년 동안 4명의 학생들이 떠났고 42명의 새로운 학생들이 학교에 왔다. 마지막에 4학년 학생이 몇 명이었나요?,10 42 [OP_ADD] 4 [OP_SUB],
윤기는 1월에 33달러를 가졌다. 3월까지 그는 4달러를 썼다. 만약 그가 그의 어머니로부터 32달러를 더 받는다면 그는 얼마나 많은 돈을 가질까?,33 32 [OP_ADD] 4 [OP_SUB],
한 플로리스트는 37개의 장미를 가지고 있었다. 만약 그녀가 16송이를 팔고 나중에 19송이를 더 골랐다면 그녀는 얼마나 많은 장미를 가질까?,37 19 [OP_ADD] 16 [OP_SUB],
한 선생님은 점수를 매길 6개의 워크시트를 가지고 있었다. 만약 그녀가 4등급을 매겼는데 다른 18등급을 매겼다면 그녀는 몇 개의 워크시트를 매겨야 할까요?,6 18 [OP_ADD] 4 [OP_SUB],
한 서점에는 41권의 책이 포장 상자에 들어 있었다. 만약 그들이 33권의 책을 팔았다가 2권을 더 넣게 된다면 얼마나 많은 책이 그 통에 있을까요?,41 2 [OP_ADD] 33 [OP_SUB],
웨이터는 19명의 손님이 기다리고 있었다. 14명의 고객이 떠나고 36명의 고객이 더 생긴다면 얼마나 많은 고객을 확보했을까요?,19 36 [OP_ADD] 14 [OP_SUB],
박람회에는 9명의 사람들이 범퍼카에 줄을 서 있었다. 만약 그들 중 6명이 기다리다 지쳐서 떠나고 3명이 더 줄을 서게 된다면 얼마나 많은 사람들이 줄을 서게 될까요?,9 3 [OP_ADD] 6 [OP_SUB],
